gml_id,walk_00,walk200,walk500
id48F45841-DD53-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-DED7-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-DED2-534C-E053-2462A00A4944,NA,NA,NA
id48F45815-0FBB-534C-E053-2462A00A4944,NA,NA,343
id48F45841-7941-534C-E053-2462A00A4944,NA,NA,121
id48F45803-935A-534C-E053-2462A00A4944,NA,29,29
id48F458F9-D4AD-534C-E053-2462A00A4944,NA,NA,NA
id48F45815-0ED1-534C-E053-2462A00A4944,NA,NA,29
id48F45803-9309-534C-E053-2462A00A4944,NA,NA,29
id48F45815-0ED2-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-6EA6-534C-E053-2462A00A4944,NA,NA,27
id48F457FC-6C63-534C-E053-2462A00A4944,NA,NA,NA
id48F457F9-1EF9-534C-E053-2462A00A4944,27,27,27
id48F457F9-1EF9-534C-E053-2462A00A4944,27,27,27
id48F457F9-1EF9-534C-E053-2462A00A4944,27,27,27
id48F45840-5FFE-534C-E053-2462A00A4944,27,27,27
id48F45840-5FFE-534C-E053-2462A00A4944,27,27,27
id48F45840-5FFE-534C-E053-2462A00A4944,27,27,27
id48F45803-5221-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-6BEF-534C-E053-2462A00A4944,27,NA,27
id48F45840-6BEF-534C-E053-2462A00A4944,27,NA,27
id48F45815-0EC9-534C-E053-2462A00A4944,27,27,27
id48F45815-0EC9-534C-E053-2462A00A4944,27,27,27
id48F45815-0EC9-534C-E053-2462A00A4944,27,27,27
id48F45840-72A4-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-6BAD-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-6B05-534C-E053-2462A00A4944,NA,NA,27
id48F45978-A48C-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-6AC7-534C-E053-2462A00A4944,NA,NA,27
id48F457FE-B021-534C-E053-2462A00A4944,NA,NA,27
id48F45840-5173-534C-E053-2462A00A4944,NA,NA,27
id48F45815-0EBA-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-4DEF-534C-E053-2462A00A4944,NA,NA,NA
id48F4588C-FE7F-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-4CFC-534C-E053-2462A00A4944,NA,NA,NA
id48F457FE-001E-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-3A62-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-0C4B-534C-E053-2462A00A4944,20,50,70
id48F45841-72C1-534C-E053-2462A00A4944,NA,NA,213
id48F45841-1CA7-534C-E053-2462A00A4944,NA,NA,20
id48F45841-6D12-534C-E053-2462A00A4944,NA,NA,213
id48F45841-1516-534C-E053-2462A00A4944,NA,20,70
id48F45841-6AFD-534C-E053-2462A00A4944,NA,121,299
id48F45841-6579-534C-E053-2462A00A4944,NA,86,86
id48F45841-65F5-534C-E053-2462A00A4944,NA,86,86
id48F45841-64C8-534C-E053-2462A00A4944,NA,NA,86
id48F45841-047A-534C-E053-2462A00A4944,NA,NA,70
id48F45841-03AB-534C-E053-2462A00A4944,NA,70,70
id48F45841-6BDD-534C-E053-2462A00A4944,NA,121,121
id48F45840-FF56-534C-E053-2462A00A4944,NA,NA,50
id48F45840-47FC-534C-E053-2462A00A4944,NA,NA,NA
id48F457F9-375F-534C-E053-2462A00A4944,64,64,64
id48F45840-6049-534C-E053-2462A00A4944,NA,298,298
id48F45840-605A-534C-E053-2462A00A4944,NA,298,298
id48F45840-479F-534C-E053-2462A00A4944,64,NA,NA
id48F45815-0EA9-534C-E053-2462A00A4944,NA,NA,NA
id48F457F9-1EFB-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-5DC7-534C-E053-2462A00A4944,NA,NA,91
id48F457F8-2DFC-534C-E053-2462A00A4944,NA,NA,64
id48F457F7-A0A8-534C-E053-2462A00A4944,NA,NA,NA
id48F45815-0E9E-534C-E053-2462A00A4944,NA,NA,NA
id48F457F9-4A87-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-490C-534C-E053-2462A00A4944,NA,NA,NA
id48F457F9-1EF6-534C-E053-2462A00A4944,NA,NA,NA
id48F457F9-CBC3-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-2B30-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-2BB4-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-2B92-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-A45B-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-365B-534C-E053-2462A00A4944,92,116,116
id48F45841-2C45-534C-E053-2462A00A4944,NA,92,116
id48F45840-92E8-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-9356-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-7F32-534C-E053-2462A00A4944,NA,NA,NA
idFA978F59-D2EB-4386-88F8-0CF4ECAE898F,NA,96,116
id48F45840-7F36-534C-E053-2462A00A4944,NA,NA,NA
id48F457FE-0EC6-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-A266-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-9B1E-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-9359-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-8F0B-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-9DCD-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-8E5F-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-7B4E-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-7BE6-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-7BE7-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-7B53-534C-E053-2462A00A4944,NA,NA,NA
id48F45815-0F76-534C-E053-2462A00A4944,NA,50,142
id48F45841-0606-534C-E053-2462A00A4944,50,50,142
id48F45841-06B2-534C-E053-2462A00A4944,NA,50,142
id48F45840-87D3-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-8789-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-1B79-534C-E053-2462A00A4944,NA,NA,NA
id48F45976-8EE5-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-3B36-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-0C32-534C-E053-2462A00A4944,NA,NA,50
id48F45815-0F7C-534C-E053-2462A00A4944,20,70,70
id48F45841-2DE4-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-31B3-534C-E053-2462A00A4944,NA,4,4
id48F45841-2ED7-534C-E053-2462A00A4944,NA,NA,4
id48F45841-0BDE-534C-E053-2462A00A4944,20,50,70
id48F457F5-7B95-534C-E053-2462A00A4944,NA,4,4
id48F45841-305C-534C-E053-2462A00A4944,NA,NA,4
id48F45841-4145-534C-E053-2462A00A4944,NA,4,4
id48F45841-35CC-534C-E053-2462A00A4944,NA,4,4
id48F457FD-2736-534C-E053-2462A00A4944,NA,NA,4
id48F45841-1B31-534C-E053-2462A00A4944,NA,20,20
id48F45841-1C48-534C-E053-2462A00A4944,NA,20,20
id48F45978-5469-534C-E053-2462A00A4944,NA,4,107
id48F45841-20E2-534C-E053-2462A00A4944,NA,20,107
id48F45841-4CDF-534C-E053-2462A00A4944,25,107,107
id48F45841-4CD5-534C-E053-2462A00A4944,25,107,107
id48F45841-4CDA-534C-E053-2462A00A4944,25,107,107
id48F45841-4CD7-534C-E053-2462A00A4944,25,25,107
id48F45841-2317-534C-E053-2462A00A4944,NA,NA,25
id48F45841-25D4-534C-E053-2462A00A4944,NA,NA,25
id48F45841-5C13-534C-E053-2462A00A4944,28,54,174
id48F45841-5C13-534C-E053-2462A00A4944,28,54,174
id48F45841-8C48-534C-E053-2462A00A4944,NA,28,54
id48F45841-6F81-534C-E053-2462A00A4944,NA,25,231
id48F457F9-3761-534C-E053-2462A00A4944,NA,28,53
id48F45841-8C81-534C-E053-2462A00A4944,28,28,28
id48F45815-0FCA-534C-E053-2462A00A4944,NA,NA,28
id48F45841-7747-534C-E053-2462A00A4944,NA,NA,92
id48F45841-76AA-534C-E053-2462A00A4944,NA,92,92
id48F45841-746F-534C-E053-2462A00A4944,NA,92,213
id48F45840-965C-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-AD03-534C-E053-2462A00A4944,NA,NA,NA
id48F45977-E930-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-C8F4-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-C8FC-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-967A-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-CA38-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-CAF4-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-CA3E-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-CC83-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-9769-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-B74A-534C-E053-2462A00A4944,13,189,189
id48F45841-AC7B-534C-E053-2462A00A4944,43,232,245
id48F457F9-5BBD-534C-E053-2462A00A4944,NA,NA,189
id48F45841-5A84-534C-E053-2462A00A4944,NA,26,206
id48F45841-B80F-534C-E053-2462A00A4944,94,101,189
id48F45841-B8A0-534C-E053-2462A00A4944,NA,94,189
id48F45815-0FFD-534C-E053-2462A00A4944,NA,NA,94
id48F45841-BF63-534C-E053-2462A00A4944,NA,NA,94
id48F45841-AD4A-534C-E053-2462A00A4944,NA,13,244
id48F45841-8ECA-534C-E053-2462A00A4944,28,174,174
id48F45841-8ECA-534C-E053-2462A00A4944,28,174,174
id48F45841-5D86-534C-E053-2462A00A4944,28,174,174
id48F45841-CBD1-534C-E053-2462A00A4944,43,43,199
id48F45841-EC78-534C-E053-2462A00A4944,NA,NA,94
id48F45841-CD1C-534C-E053-2462A00A4944,7,50,159
id48F45841-CF94-534C-E053-2462A00A4944,NA,101,159
id48F45841-EDC4-534C-E053-2462A00A4944,NA,NA,94
id48F45841-C53C-534C-E053-2462A00A4944,27,42,108
id48F45841-CEC9-534C-E053-2462A00A4944,NA,65,510
id48F45815-102E-534C-E053-2462A00A4944,NA,NA,503
id48F457F9-3661-534C-E053-2462A00A4944,NA,NA,23
id48F45841-C3E4-534C-E053-2462A00A4944,NA,23,50
id48F45815-0FCB-534C-E053-2462A00A4944,NA,NA,23
id48F45815-1009-534C-E053-2462A00A4944,NA,23,582
id48F45815-1008-534C-E053-2462A00A4944,50,57,582
id48F45841-C942-534C-E053-2462A00A4944,NA,23,582
id48F45841-D8DE-534C-E053-2462A00A4944,NA,233,351
id48F45841-F344-534C-E053-2462A00A4944,NA,NA,233
id48F45841-F4B8-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-C965-534C-E053-2462A00A4944,NA,23,582
id48F45841-CA54-534C-E053-2462A00A4944,NA,NA,582
id48F45841-F4B9-534C-E053-2462A00A4944,NA,NA,233
id48F45840-9714-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-A463-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-A54C-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-DE1F-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-D6A7-534C-E053-2462A00A4944,NA,NA,34
id48F45840-D6CF-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-D707-534C-E053-2462A00A4944,NA,NA,34
id48F457F9-1ED9-534C-E053-2462A00A4944,NA,NA,34
id48F45840-DB97-534C-E053-2462A00A4944,NA,34,34
id48F45840-AAD3-534C-E053-2462A00A4944,NA,14,14
id48F45841-99E6-534C-E053-2462A00A4944,34,34,34
id48F45840-DBBF-534C-E053-2462A00A4944,34,34,34
id48F45841-A273-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-A19C-534C-E053-2462A00A4944,NA,NA,34
id48F45841-373B-534C-E053-2462A00A4944,NA,NA,116
id48F45841-A339-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-A405-534C-E053-2462A00A4944,NA,20,84
id48F457F7-735A-534C-E053-2462A00A4944,NA,NA,10
id48F45841-9F7B-534C-E053-2462A00A4944,NA,26,84
id48F45841-40E9-534C-E053-2462A00A4944,NA,NA,10
id48F45841-A56E-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-45D2-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-5318-534C-E053-2462A00A4944,NA,NA,4
id48F45841-B0A2-534C-E053-2462A00A4944,36,36,84
id48F45841-B308-534C-E053-2462A00A4944,NA,NA,36
id48F45841-A83B-534C-E053-2462A00A4944,22,22,58
id48F45841-A88A-534C-E053-2462A00A4944,22,22,58
id48F45841-A83A-534C-E053-2462A00A4944,22,22,58
id48F45841-5761-534C-E053-2462A00A4944,NA,NA,NA
id48F45841-A7CE-534C-E053-2462A00A4944,22,22,232
id48F45841-B0F3-534C-E053-2462A00A4944,36,36,58
id48F45841-B0F3-534C-E053-2462A00A4944,36,36,58
id48F45841-B18D-534C-E053-2462A00A4944,36,36,58
id48F45841-B18D-534C-E053-2462A00A4944,36,36,58
id48F45841-A767-534C-E053-2462A00A4944,22,22,22
id48F45979-44E3-534C-E053-2462A00A4944,22,22,232
id48F45841-57BE-534C-E053-2462A00A4944,NA,NA,32
id48F45841-5E20-534C-E053-2462A00A4944,32,32,232
id48F45841-B296-534C-E053-2462A00A4944,NA,36,189
id48F45841-B704-534C-E053-2462A00A4944,36,189,189
id48F45815-0FFB-534C-E053-2462A00A4944,NA,189,189
id48F45841-5E33-534C-E053-2462A00A4944,32,32,232
id48F457F7-1C74-534C-E053-2462A00A4944,NA,NA,189
id48F457FD-EF4D-534C-E053-2462A00A4944,NA,NA,189
id48F45841-ABE8-534C-E053-2462A00A4944,27,232,245
id48F45840-210A-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-29DA-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-265B-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-274E-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-26B6-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-20D2-534C-E053-2462A00A4944,NA,NA,NA
id48F457F7-403E-534C-E053-2462A00A4944,NA,NA,NA
id48F45979-069E-534C-E053-2462A00A4944,NA,NA,NA
id48F45979-F740-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-1EA6-534C-E053-2462A00A4944,NA,NA,NA
id48F45840-1C7B-534C-E053-2462A00A4944,NA,NA,NA
